Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,Josh Osich,CHW,67.2,272,4.6552,62,13,0,38,35,15,15,1,0,61,0.2421875,0.283088235,0.46875,0.310481825,11528
2019,Jose Urena,MIA,10,47,9,14,1,0,10,10,3,3,0,0,11,0.318181818,0.361702127,0.545454545,0.378771536,11589
2019,Dovydas Neverauskas,PIT,9.1,53,10.6072,15,6,0,11,11,2,7,1,2,10,0.348837209,0.452830188,0.627906976,0.439356896,11604
2019,Heath Hembree,BOS,39.2,173,3.8571,34,8,3,20,17,7,18,2,3,46,0.22368421,0.317919075,0.453947368,0.321715182,11632
2019,Carlos Martinez,STL,48.1,200,3.1655,39,6,0,18,17,2,18,1,3,53,0.220338983,0.301507537,0.288135593,0.262776262,11682
2019,Josh Lucas,BAL,15.2,69,5.7447,14,2,0,12,10,2,7,0,0,16,0.237288135,0.304347826,0.372881355,0.287544733,11686
2019,Tayron Guerrero,MIA,46,216,6.2609,42,8,0,34,32,7,36,0,6,43,0.245614035,0.388888888,0.415204678,0.351646221,11691
2019,Nick Kingham,2 Tms,40,180,6.3,52,15,0,28,28,7,18,1,0,30,0.325,0.393258426,0.55,0.393503329,11694
2019,Sam Dyson,2 Tms,62.1,249,3.3209,53,9,1,26,23,6,13,0,3,55,0.230434782,0.280487804,0.356521739,0.274078513,11710
2019,Luke Jackson,ATL,72.2,315,3.8394,76,9,0,34,31,10,26,4,2,106,0.265734265,0.331210191,0.402097902,0.311413226,11752
2019,Kyle Ryan,CHC,61,260,3.541,55,5,1,26,24,5,29,2,1,58,0.243362831,0.328185328,0.340707964,0.291556908,11753
2019,Drew Smyly,TEX,16,80,9.5625,21,4,1,18,17,7,10,0,0,15,0.3,0.3875,0.685714285,0.433773577,11760
2019,Hansel Robles,LAA,71.2,280,2.5116,58,11,0,20,20,6,16,1,0,74,0.223938223,0.26618705,0.335907335,0.256422412,11801
2019,Hector Neris,PHI,67.2,274,2.9261,45,7,0,24,22,10,24,1,6,89,0.185950413,0.273722627,0.338842975,0.265396532,11804
2019,Chris Martin,2 Tms,55.2,216,3.3952,52,7,0,23,21,9,5,0,0,65,0.248803827,0.263888888,0.411483253,0.281157017,11847
